34	78	0															
16	2	3	4	5	6	7	8	9	11	12	13	14	18	20	22	32	
9	1	3	4	8	14	18	20	22	31								
10	1	2	4	8	9	10	14	28	29	33							
6	1	2	3	8	13	14											
3	1	7	11														
4	1	7	11	17													
4	1	5	6	17													
4	1	2	3	4													
5	1	3	31	33	34												
2	3	34															
3	1	5	6														
1	1																
2	1	4															
5	1	2	3	4	34												
2	33	34															
2	33	34															
2	6	7															
2	1	2															
2	33	34															
3	1	2	34														
2	33	34															
2	1	2															
2	33	34															
5	26	28	30	33	34												
3	26	28	32														
3	24	25	32														
2	30	34															
4	3	24	25	34													
3	3	32	34														
4	24	27	33	34													
4	2	9	33	34													
6	1	25	26	29	33	34											
12	3	9	15	16	19	21	23	24	30	31	32	34					
17	9	10	14	15	16	19	20	21	23	24	27	28	29	30	31	32	33
