115	613	0										
12	2	5	10	17	24	34	36	42	66	91	94	105
12	1	26	28	34	38	46	58	90	102	104	106	110
12	4	7	14	15	16	48	61	65	73	75	101	107
12	3	6	12	27	41	53	59	73	75	82	85	103
11	1	6	10	17	24	29	42	70	94	105	109	
12	4	5	11	12	53	75	82	85	91	98	99	108
12	3	8	33	40	48	56	59	61	65	86	101	107
12	7	9	22	23	41	69	74	78	79	83	109	112
11	8	10	22	23	42	52	69	78	79	91	112	
11	1	5	9	17	23	24	42	65	94	105	109	
10	6	12	61	73	75	82	85	99	103	108		
10	4	6	11	25	29	51	70	91	98	105		
10	14	15	18	19	27	35	37	39	44	86		
11	3	13	16	33	40	46	61	65	101	107	111	
10	3	13	16	27	39	44	55	72	86	100		
12	3	14	15	33	40	48	61	69	93	101	107	115
11	1	5	10	18	24	39	42	68	82	94	105	
11	13	17	21	28	59	63	66	88	96	97	114	
11	13	20	32	35	37	39	43	55	62	72	100	
11	19	30	31	34	36	37	45	56	80	95	102	
11	18	22	37	63	66	71	76	77	88	97	114	
11	8	9	21	23	33	47	52	69	78	109	112	
11	8	9	10	22	24	48	52	69	78	79	109	
11	1	5	10	17	23	42	79	91	94	105	112	
10	12	26	29	51	67	70	85	88	91	111		
11	2	25	34	38	46	54	90	104	106	107	110	
10	4	13	15	28	35	39	43	44	62	86		
11	2	18	27	57	63	64	66	71	77	96	97	
9	5	12	25	39	51	70	79	91	114			
11	20	31	36	43	56	80	81	83	92	95	102	
11	20	30	36	45	51	56	80	83	95	102	110	
11	19	33	35	44	55	56	62	72	80	86	100	
11	7	14	16	22	32	40	48	50	65	101	107	
10	1	2	20	26	38	46	90	104	106	110		
11	13	19	27	32	36	43	55	62	72	95	100	
11	1	20	30	31	35	45	56	80	93	95	102	
8	13	19	20	21	38	44	59	60				
11	2	26	34	37	46	81	90	96	104	106	110	
11	13	15	17	19	27	29	40	44	55	72	86	
11	7	14	16	33	39	48	55	61	83	101	107	
11	4	8	42	52	53	73	75	82	99	103	108	
10	1	5	9	10	17	24	41	68	94	105		
7	19	27	30	35	44	58	64					
11	13	15	27	32	37	39	43	62	71	80	86	
11	20	31	36	46	49	58	67	76	87	92	113	
11	2	14	26	34	38	45	63	90	104	106	110	
11	22	48	50	54	68	74	84	89	111	112	115	
11	3	7	16	23	33	40	47	61	62	65	101	
11	45	50	54	58	67	76	87	92	93	97	99	
11	33	47	49	54	68	74	84	85	89	111	115	
9	12	25	29	31	52	69	70	79	91			
11	9	22	23	41	51	69	78	79	102	109	112	
10	4	6	41	54	73	75	85	99	103	113		
12	26	47	49	50	53	68	74	84	87	89	111	115
10	15	19	32	35	39	40	56	62	72	100		
11	7	20	30	31	32	36	55	80	90	95	102	
10	28	58	63	66	71	77	88	96	97	107		
10	2	43	45	49	57	76	87	92	93	113		
10	4	7	18	37	60	64	89	98	102	115		
8	37	59	61	64	67	77	98	114				
11	3	7	11	14	16	40	48	60	65	72	107	
11	19	27	32	35	44	48	55	63	72	93	100	
11	18	21	28	46	57	62	71	77	88	96	106	
9	28	43	59	60	65	66	98	110	113			
11	3	7	10	14	33	48	61	64	101	107	112	
11	1	18	21	28	57	64	67	71	88	97	114	
11	25	45	49	60	66	76	77	87	92	93	113	
12	17	42	47	50	54	69	74	84	89	105	111	115
11	8	9	16	22	23	51	52	68	79	109	112	
11	5	12	25	29	51	71	84	89	91	92	96	
11	21	28	44	57	63	66	70	77	96	104	114	
10	15	19	32	35	39	55	61	62	73	100		
11	3	4	11	41	53	72	75	82	103	105	108	
11	8	47	50	54	68	75	78	84	89	111	115	
11	3	4	6	11	41	53	73	74	83	85	103	
10	21	45	49	58	67	77	87	93	108	113		
11	21	28	57	60	63	67	71	76	96	97	114	
11	8	9	22	23	52	74	79	83	99	109	112	
11	8	9	23	24	29	51	52	69	78	109	112	
11	20	30	31	32	36	44	56	81	95	102	110	
11	30	38	80	83	86	87	92	94	95	106	111	
11	4	6	11	17	41	73	83	84	85	99	108	
11	8	30	31	40	75	78	81	82	94	95	101	
11	47	50	54	68	70	74	82	85	89	111	115	
11	4	6	11	25	50	53	75	82	84	99	108	
9	7	13	15	27	32	39	44	81	100			
11	45	49	54	58	67	76	81	88	92	93	98	
11	18	21	25	57	63	66	87	96	97	105	114	
12	47	50	54	59	68	70	74	84	90	108	111	115
11	2	26	34	38	46	56	89	100	104	106	110	
9	1	6	9	12	24	25	29	51	70			
11	30	45	49	58	67	70	81	87	93	94	113	
11	16	36	49	58	62	67	76	87	92	107	113	
10	1	5	10	17	24	42	81	83	92	105		
10	20	30	31	35	36	56	80	81	83	102		
10	18	28	38	57	63	70	71	77	88	114		
10	18	21	28	49	57	66	77	88	113	114		
8	6	12	59	60	64	87	99	113				
11	6	11	41	49	53	78	82	85	98	103	108	
10	15	19	32	35	55	62	72	86	90	101		
11	3	7	14	16	33	40	48	65	83	100	103	
10	2	20	30	31	36	52	56	59	80	95		
10	4	11	41	53	73	75	99	101	104	108		
10	2	26	34	38	46	71	90	103	106	110		
12	1	5	10	12	17	24	42	68	73	88	94	115
10	2	26	34	38	46	63	81	90	104	110		
11	3	7	14	16	26	33	40	57	61	65	93	
10	6	11	41	73	76	82	85	89	99	103		
10	5	8	10	22	23	52	69	78	79	112		
11	2	26	31	34	38	46	64	80	90	104	106	
11	14	25	47	50	54	68	74	81	84	89	115	
11	8	9	22	24	47	52	65	69	78	79	109	
10	45	53	58	64	67	76	92	93	97	98		
10	18	21	29	60	66	71	77	88	96	97		
11	16	47	50	54	59	68	74	84	89	105	111	
