100	2266																																																																																							
71	54	49	41	69	17	42	54	81	50	22	61	48	68	88	37	30	29	15	52	58	36	87	47	19	74	78	16	80	20	95	6	79	46	11	4	71	53	56	21	75	39	90	8	63	1	43	40	27	98	73	35																																					
58	29	43	0	94	12	64	34	10	18	7	43	95	54	49	97	21	37	39	28	50	13	51	96	55	90	65	44	69	6	75	70	15	22	32	78	5	80	67	87	41	79	40	16	27	84																																											
31	78	48	18	89	37	32	77	21	44	23	87	61	38	86	58	93	51	33	25	17	34	74	84	27	70	40	81	43	7	41	71	31	79	15	59	95	24	11	98	63	90	57	75	39	52	20	65	94	49	76																																						
2	77	80	38	19	32	41	15	61	9	20	69	50	18	99	47	42	28	75	89	82	17	10	37	97	87	58	72	14	25	78	79	33	45	55	80	56	36	57	34	52	5	54	96	93	83	40	98	11	29	39	31	30	84	65	95	64	51	22	74	90	66	76	60	26	85	7	49	94	59	53	8	4	77	43	73	16	24	68	48	6	81	21						
82	71	19	0	3	23	92	25	71	66	77	75	30	82	89	22	35	55	20	57	62	13																																																																			
5	42	7	1	3	63	83	64	42	18																																																																															
87	80	49	0	1	3	97	76	38	48	54	67	64	89	34	11	42	77	35	41	74	43	71	50	17	27	8	28	61	30	85	31	79	7	49	45	59	13	32	62	96	82	55	60	19	90	68	25	56	51	58	46																																					
38	97	6	1	2	3	6	37	13																																																																																
88	6	63	0	3	6	15	19	37	9	61	70	43	42	33	21	88	45	73	75	82	20	46	86	41	34	24	80	54	53	62	71	25	27	96	32	64	36	68	58	60	39	28	83	89	52	38	16	98	31	87	12	56	69	85	26	67	65	50	29	35	23	59	57	99	93																							
95	37	24	3	8	81	76	40	62	49	13	96	17	58	68	10	65	73	78	43	57	41	11	14	31	99	60																																																														
53	77	27	1	3	9	41	47	45	43	94	27	17	50	34	51	39	25	64	36	54	88	42	59	38	14	76	26	13	69																																																											
6	60	80	0	2	3	6	9	51	80	98	52	62	32	27	68	40	38	20	87	15	60	54	72	12	78	92	29	22	95	18	41	36	97	57	13	89	79	71	24	94	46	39	23	55	64	76	34	48	84	96	83	82	99	66	42	16	91	75	44	63	17	43	25	50	88	81	77	47	73	56	31	86	30	90	26	53	21	58	85	28	35	61						
47	30	56	1	8	11	94	38	34	89	49	40	93	25	55	81	46	54	37	14	73	22	21	32	42	74	43	82	57	76	29	62	50	68	35	63	16	90	36	84	51	66	97	78	96	99	17	69	88	15	26	23	70	83	20	19	60	24	31																														
63	65	15	1	4	6	7	9	10	11	95	73	42	45	46	85	41	70																																																																							
27	28	36	3	9	10	12	38	23	22	79	82	33	41	99	69	49	83	15	90	51	78	61	34	96	37	30	21	77	89	62	75	32	53	42	54	98	65	95																																																		
83	83	18	0	1	2	3	8	11	12	14	38	49	90	16	82	65	22	91	67	95																																																																				
59	99	24	0	1	3	8	11	12	15	89	44	28	75	85	25	34	86	41	59	18	94	32	60	37	64	74																																																														
92	23	67	0	2	3	6	9	10	11	12	18	24	19	97	65	90	27	25	77	75	38	57	85	66	46	56	23	95	72	26	91	59	49	87	44	83	82	58	50	79	43	67	69	73	98	39	61	30	63	54	84	93	21	71	81	32	37	52	47	86	96	29	94	99	36	45	78	28	31																			
70	99	19	1	2	3	5	11	16	17	32	47	92	76	62	68	77	40	75	93	29	64																																																																			
25	54	19	0	3	6	8	12	17	87	43	92	46	98	76	71	20	66	77	56	38	27																																																																			
11	100	69	0	2	3	4	8	11	12	19	23	69	60	95	81	66	46	65	77	45	53	61	86	31	28	36	54	63	68	94	30	72	25	84	90	92	79	93	49	37	59	34	83	97	48	27	33	24	43	64	42	44	62	67	99	98	75	89	32	51	88	96	87	47	57	74	38	56	21	85	55																	
68	2	86	0	1	2	3	8	11	12	14	17	20	37	62	73	71	87	81	66	27	45	59	94	25	57	86	30	44	32	93	34	38	24	41	28	92	70	48	80	36	76	33	96	83	46	55	56	60	99	88	85	84	82	58	67	54	43	98	97	29	26	23	52	31	49	68	77	78	65	50	90	89	40	74	64	51	63	35	39	22	61	47	69	53	91	79	95	72
58	11	67	0	1	3	4	11	12	14	15	21	70	27	48	30	88	67	65	85	33	34	86	82	84	71	50	38	64	23	77	37	44	40	79	57	56	43	36	63	60	53	69	31	72	83	66	91	96	54	75	61	49	51	29	78	97	55	62	81	45	47	26	68	24	46	89	25	76	41																			
11	80	34	2	4	8	11	12	14	17	20	21	22	65	75	51	85	92	67	95	27	96	74	33	90	91	66	78	24	62	58	49	89	81	69	57	61																																																				
29	5	50	2	3	8	11	12	17	20	21	22	23	73	66	98	38	81	77	53	25	27	80	75	95	46	79	65	62	50	76	36	34	33	40	68	61	94	47	49	91	43	51	82	89	63	74	90	84	26	93	99	85																																				
30	39	86	2	3	4	6	8	10	11	12	16	17	20	21	22	24	64	94	72	28	71	47	77	92	29	48	31	27	58	86	49	91	75	82	52	39	65	96	33	66	81	63	41	37	73	87	98	95	45	35	97	84	59	40	67	80	54	36	51	76	42	78	57	56	61	79	69	62	90	89	46	70	83	43	26	99	68	88	32	44	53	93	38	74	60	30	34	85
31	95	17	3	8	10	11	12	17	21	22	24	25	58	93	80	99	31	33	51																																																																					
98	41	67	0	1	2	6	8	10	11	17	19	20	21	22	23	24	25	55	67	53	75	41	61	87	47	77	33	71	35	62	42	38	37	88	98	45	73	28	96	72	54	63	59	68	48	82	86	95	80	66	94	64	58	44	97	83	91	60	34	50	85	89	52	57	43	29	56	81	90																			
28	17	75	1	3	6	8	11	16	17	20	21	25	27	94	66	63	34	92	70	86	37	44	54	33	95	93	87	49	97	76	65	38	41	84	46	99	42	83	48	80	31	90	29	91	74	43	75	36	35	71	88	58	39	98	64	73	59	72	96	77	85	81	32	53	82	40	50	68	56	57	51	89	30	55	60	62	67											
17	65	24	0	3	8	11	12	17	18	21	22	25	27	28	75	63	45	67	62	85	64	84	66	81	31	60																																																														
42	42	21	0	3	4	6	11	14	17	20	21	22	25	28	83	66	51	38	68	47	73	97	40																																																																	
72	33	24	2	3	6	8	9	11	12	17	20	21	22	25	26	28	29	57	77	39	86	68	56	47	45	34																																																														
64	21	75	1	2	3	6	8	11	12	14	16	17	18	20	21	25	28	56	79	75	62	68	65	74	98	64	33	93	47	71	34	63	66	57	73	76	88	49	70	38	40	86	83	53	99	39	87	58	97	52	37	89	44	55	91	36	81	92	46	80	90	60	84	51	54	82	61	94	77	96	59	48	35	95	72	50	45											
19	59	22	2	3	8	14	20	21	22	23	24	25	26	27	28	32	56	42	89	48	86	92	97	84																																																																
9	46	25	1	2	3	6	8	10	11	12	14	16	20	21	22	24	25	27	28	31	32	95	98	75	74	57	96																																																													
91	27	56	0	4	6	8	11	12	21	25	27	28	32	89	78	49	95	71	77	53	48	79	38	93	56	88	66	92	74	84	76	97	62	98	67	68	90	36	46	64	45	70	39	40	80	81	94	55	99	85	65	47	69	61	63	96	91	50																														
79	38	70	0	3	8	10	11	12	17	20	21	22	24	25	28	32	35	77	56	52	82	62	53	96	66	57	97	78	39	54	49	67	47	45	94	61	51	88	46	85	98	90	40	63	99	64	95	38	80	72	74	73	60	41	76	58	55	37	79	71	92	50	93	42	43	89	69	81	48	84	75	59																
29	92	68	0	1	2	3	7	8	12	14	16	17	20	21	22	25	27	28	32	36	73	74	89	83	60	88	42	87	79	90	64	51	46	71	52	56	72	59	69	97	63	61	57	39	95	58	47	62	92	76	93	67	48	38	41	53	77	85	75	55	40	82	50	80	91	54	96	94	98	65																		
