100	2655																																																																																																	
54	83	56	23	93	88	37	53	11	36	4	21	40	16	60	5	69	92	12	98	67	76	22	9	42	84	94	57	56	86	33	25	15	45	64	44	59	97	81	8	65	77	31	99	35	24	13	50	74	83	85	30	90	71	75	19	55	1	63																																								
89	76	92	0	3	45	91	55	94	57	26	60	77	44	80	75	24	48	59	89	54	66	87	96	49	69	19	8	20	23	36	40	14	76	4	73	30	67	86	17	2	81	38	95	90	61	25	16	43	7	18	82	88	92	41	11	99	5	32	65	35	72	42	51	6	58	47	64	31	10	62	52	74	68	27	29	15	85	37	33	71	46	79	97	21	12	28	84	53	34	9	22	39	98	70				
54	42	96	1	92	29	14	63	26	48	19	90	33	64	36	60	6	31	3	35	86	38	40	56	11	73	44	9	46	23	5	78	16	74	52	50	96	13	72	79	41	8	67	45	55	39	10	12	93	4	68	25	65	77	20	32	95	89	7	75	47	69	82	99	98	97	85	62	76	70	80	87	27	43	28	49	61	21	84	18	34	37	54	83	66	81	91	58	94	30	24	15	59	53	22	88	42	57	71
84	83	78	1	2	43	56	89	91	23	86	11	14	19	28	24	84	21	41	75	33	7	83	39	76	92	31	48	17	90	67	82	49	73	51	15	97	20	61	52	6	59	70	26	74	32	93	72	44	13	99	34	38	16	60	66	47	9	88	37	25	4	10	5	68	95	27	40	63	96	71	77	8	78	65	58	18	30	29	69	55																		
46	76	96	0	1	2	3	56	96	19	22	50	34	18	53	73	87	93	21	16	43	92	51	77	31	39	95	7	47	91	48	58	30	75	84	65	71	5	67	29	62	90	74	85	49	79	80	57	82	37	76	70	60	40	97	81	32	68	46	54	17	9	15	11	41	42	6	28	55	86	35	45	10	89	26	8	33	36	94	27	25	99	38	72	98	24	59	78	83	13	12	23	64	66	63	88	20	61	69
83	94	38	0	1	2	3	4	28	15	24	87	44	78	26	29	92	30	8	96	81	27	55	62	89	11	59	34	18	9	72	82	67	75	58	54	33	76	65	39	98																																																										
40	74	26	1	2	3	4	27	20	77	13	55	49	99	71	30	96	63	90	66	40	72	33	23	94	83	45	68	98																																																																						
82	95	21	1	2	3	4	19	56	69	27	54	86	93	32	30	9	73	81	59	48	49	14	10																																																																											
42	62	66	0	1	2	3	4	5	15	91	81	70	40	20	29	58	63	32	13	82	31	34	86	35	94	42	98	22	90	10	48	95	92	27	16	55	17	79	64	85	75	54	33	26	46	52	21	14	24	87	47	43	23	39	77	60	59	38	11	37	44	76	71	30	68	78	19	88																														
61	57	65	0	1	2	3	4	5	7	86	91	51	42	92	14	67	73	10	22	35	95	84	99	25	81	82	64	68	47	24	72	66	45	80	33	15	65	96	52	54	79	76	38	32	27	34	83	16	49	85	20	87	75	56	48	70	88	28	11	29	18	71	46	36	74	57	58																															
84	80	77	1	2	3	4	7	8	9	63	19	88	61	27	16	56	55	92	66	42	36	73	77	86	93	49	74	68	48	15	11	72	24	14	30	40	13	47	76	52	34	12	32	80	87	21	95	59	31	29	18	94	25	91	96	99	26	50	23	39	75	78	17	43	33	90	67	64	38	53	89	71	20	54	58	28	98	79	62																			
72	98	62	0	1	2	3	4	5	8	9	10	15	49	40	30	56	64	74	62	86	13	31	55	68	71	78	38	73	22	69	90	32	82	26	57	37	72	60	61	33	84	48	91	76	18	39	12	19	23	81	51	98	93	79	35	66	87	88	44	41	45	25	24	85																																		
73	98	82	0	1	2	4	10	11	23	28	39	21	51	81	99	69	90	44	75	48	41	34	20	50	64	73	45	22	53	54	46	80	70	32	33	47	42	86	85	16	17	38	66	31	68	37	76	19	15	88	97	59	14	96	55	58	30	77	74	79	43	27	24	52	63	84	83	35	56	49	72	93	29	95	18	13	57	89	94	98	62	67	82	91														
70	85	80	0	2	3	4	6	8	10	11	12	47	61	34	40	41	99	83	23	85	58	33	17	52	97	78	74	81	79	42	44	86	62	95	16	14	20	37	87	57	30	29	69	56	28	93	19	80	22	36	82	84	51	25	90	24	71	27	98	70	67	31	54	53	38	15	92	18	21	89	32	91	60	96	46	66	50	48	64	63	73	94																
64	61	24	1	2	3	7	8	9	10	12	13	44	96	23	41	98	57	89	84	68	83	26	52	55	67	65																																																																								
60	46	84	0	1	2	3	4	5	8	9	10	11	12	13	28	56	97	19	58	89	75	45	81	68	42	55	82	18	94	96	53	69	21	22	17	87	31	78	38	85	95	44	50	67	24	74	65	63	48	92	59	54	20	64	61	93	70	86	43	36	60	62	52	49	83	27	51	57	91	34	16	46	26	29	35	66	99	47	79	73	77	40	90	37	76	32												
96	92	88	0	1	2	3	4	8	9	10	12	13	15	46	24	34	68	90	96	26	89	62	70	98	38	94	64	32	73	63	74	39	17	58	30	55	19	21	69	84	50	36	22	72	49	80	28	81	76	18	91	45	60	86	93	23	47	33	57	65	95	53	54	75	97	88	35	99	85	27	44	56	48	20	78	29	43	77	25	92	71	61	59	40	51	66	83	82	79	42								
62	99	21	1	3	4	8	10	12	13	15	16	29	58	53	40	62	77	26	71	49	92	78	41																																																																											
46	45	82	1	2	3	4	5	9	10	11	12	13	15	16	76	73	42	50	98	83	69	89	95	47	52	82	92	78	75	61	45	65	85	66	77	80	58	79	49	25	96	41	33	94	43	71	53	22	23	59	90	93	37	88	20	28	30	86	38	70	62	19	74	54	34	40	84	67	48	97	39	44	81	57	91	32	51	63	21	46	68	64	35	55														
81	68	14	0	1	2	3	4	7	8	10	11	12	13	15	16	18																																																																																		
50	84	53	1	2	3	4	6	8	9	10	12	13	15	16	18	92	81	57	74	70	48	39	24	23	46	63	26	95	32	29	78	50	49	40	27	83	93	64	43	94	72	37	54	67	53	56	35	41	31	59	99	45	76	87	82																																											
98	86	77	0	1	2	3	4	8	10	12	13	15	16	18	82	79	24	99	51	55	40	80	41	54	96	33	95	49	65	44	84	70	72	52	97	38	48	27	98	91	29	85	30	66	93	59	64	77	28	37	34	89	75	31	90	74	43	58	67	56	26	22	92	68	36	25	73	45	78	88	47	32	42	53	62	86	50	71	83																			
66	70	53	0	1	2	4	8	9	11	12	13	15	16	18	21	90	36	28	64	71	53	38	82	72	81	85	77	61	49	74	44	41	94	58	55	31	88	92	99	40	73	69	47	76	32	42	23	95	83	80	68	62	26	37	75																																											
66	65	46	0	1	2	3	4	6	8	10	11	12	13	14	16	18	20	22	43	88	52	55	77	63	56	67	37	47	74	33	51	25	69	57	82	36	44	76	92	94	32	62	86	72	60	28	26	95																																																		
67	89	48	0	1	2	3	4	5	8	9	10	11	12	13	15	16	20	21	55	80	95	52	66	88	76	60	46	78	85	87	27	81	25	79	37	90	98	35	75	61	57	77	91	44	47	94	48	62	33	30																																																
17	13	18	0	1	2	3	4	9	10	11	13	16	18	21	23	24	27	69	46	47																																																																														
81	100	46	1	2	3	4	5	8	10	11	14	15	16	17	20	21	22	23	89	98	79	43	48	65	86	56	46	55	33	52	31	27	81	57	58	32	69	99	29	49	78	42	37	74	36	95	30	92																																																		
85	68	83	1	2	3	4	5	6	7	8	9	10	12	13	15	16	20	21	24	25	26	78	85	97	47	54	41	77	39	84	89	70	67	53	52	29	50	83	93	74	36	51	35	96	92	88	82	61	55	45	59	44	37	30	69	31	57	75	56	66	63	58	79	90	42	71	95	65	99	86	48	60	40	33	34	91	49	72	76	98	38	68	64	62	81													
23	19	28	1	2	3	4	5	9	10	12	13	15	16	18	21	22	23	53	79	31	87	97	65	51	57	56	96	61	90	92																																																																				
45	90	87	1	2	3	4	5	8	9	10	12	13	15	16	17	20	21	26	27	57	92	47	65	89	53	81	72	97	48	62	96	33	88	83	39	95	90	30	67	69	36	49	93	59	99	76	74	78	71	38	51	40	42	31	60	61	45	41	86	66	34	68	56	37	63	85	46	77	58	50	80	70	55	98	73	84	87	44	35	82	54	32	52	91	94	75	64	43	79									
40	57	72	0	1	2	3	4	5	6	7	8	10	11	12	13	16	18	21	24	26	27	29	34	87	44	47	57	52	59	71	86	70	81	45	91	50	98	31	68	96	33	60	80	88	69	93	35	42	54	32	62	76	53	99	97	66	48	84	51	46	72	82	39	90	79	89	58	36	43	40	38	67	41	83																								
22	27	22	0	1	2	3	4	8	10	11	12	13	15	20	21	22	26	27	28	29	30	57	69	43																																																																										
38	49	61	1	2	3	4	7	8	9	10	11	12	13	15	16	18	20	21	22	23	26	29	30	35	53	94	39	42	90	70	69	98	43	62	60	95	67	33	89	76	91	54	85	78	87	57	75	56	96	49	81	44	74	45	82	83	99	97	48	84	88	68	80																																			
100	70	89	0	1	2	3	4	5	6	8	9	10	11	12	13	16	18	21	23	24	26	27	29	30	32	34	44	83	87	73	98	39	89	63	99	56	96	64	72	82	70	91	79	54	90	84	97	49	68	95	61	81	93	47	88	40	59	92	66	46	78	36	94	50	74	37	43	55	38	77	67	71	51	53	62	76	35	86	69	75	65	48	45	52	80	60	85	42	41	58	57							
73	91	66	1	2	3	4	5	8	9	10	12	13	15	16	18	21	27	29	30	33	73	72	50	85	90	89	45	37	97	80	68	49	40	84	55	76	79	58	63	70	42	77	38	56	86	52	35	78	54	48	69	87	60	83	57	95	65	98	96	64	39	74	59	44	46	91	92	94																														
44	42	71	0	1	2	4	8	9	11	12	15	16	18	20	24	27	29	30	32	33	34	62	76	75	42	63	68	82	83	97	53	69	70	60	37	46	43	49	50	56	98	94	41	54	44	90	96	55	74	58	66	57	85	92	99	86	38	84	87	67	61	36	48	64	65	79	59	51	71	89	77	78	88																									
36	26	71	0	1	2	4	9	10	13	15	16	21	22	23	26	27	29	30	33	35	81	96	70	98	72	86	83	44	74	37	57	64	56	87	40	58	78	46	92	67	39	90	75	66	61	95	48	52	53	71	62	63	59	42	65	38	60	54	80	69	50	68	89	91	79	97	94	55	99	84	76	47	77																									
68	91	41	0	1	2	3	4	8	11	12	13	15	18	20	21	22	23	24	26	27	29	33	34	35	36	87	92	72	65	81	98	91	67	62	82	85	46	49	71	76	74	57	38																																																							
36	50	51	1	2	3	4	8	9	10	11	12	13	15	16	18	21	22	27	29	30	33	34	35	36	37	86	42	83	98	59	47	90	84	55	65	60	89	99	58	66	81	70	51	53	61	75	39	74	68	91	67	50	72																																													
